"season","player_id","first_name","last_name","primary_position","hit_count"
"2010",8469459,"Mikko","Koivu","C",62
"2010",8469460,"Mike","Komisarek","D",146
"2010",8469462,"Tuomo","Ruutu","LW",309
"2010",8469464,"Fredrik","Sjostrom","LW",108
"2010",8469465,"Dan","Hamhuis","D",116
"2010",8469466,"Ales","Hemsky","RW",28
"2010",8469467,"Chuck","Kobasew","RW",30
"2010",8469469,"R.J.","Umberger","C",114
"2010",8469470,"Carlo","Colaiacovo","D",73
"2010",8469472,"Shaone","Morrisonn","D",111
"2010",8469473,"Marcel","Goc","C",51
"2010",8469474,"Colby","Armstrong","RW",88
"2010",8469476,"Tim","Gleason","D",215
"2010",8469480,"Jeff","Woywitka","D",43
"2010",8469483,"David","Steckel","C",104
"2010",8469485,"Derek","Roy","C",16
"2010",8469490,"Tim","Jackman","RW",130
"2010",8469492,"Fedor","Tyutin","D",120
"2010",8469500,"Michael","Cammalleri","LW",18
"2010",8469501,"Chris","Thorburn","RW",124
"2010",8469505,"Noah","Welch","D",10
"2010",8469506,"Jason","Pominville","RW",38
"2010",8469508,"Jay","McClement","C",71
"2010",8469521,"Tomas","Plekanec","C",61
"2010",8469531,"Jay","Harrison","D",111
"2010",8469544,"Patrick","Sharp","LW",91
"2010",8469547,"Jordin","Tootoo","RW",126
"2010",8469555,"Christian","Ehrhoff","D",81
"2010",8469564,"Richard","Petiot","D",3
"2010",8469581,"Kyle","Wellwood","C",16
"2010",8469582,"Colin","Stuart","LW",3
"2010",8469584,"Joel","Perrault","C",8
"2010",8469591,"Cody","McCormick","C",120
"2010",8469598,"Kevin","Bieksa","D",184
"2010",8469619,"Dennis","Seidenberg","D",216
"2010",8469622,"Ryane","Clowe","LW",191
"2010",8469623,"Marek","Zidlicky","D",61
"2010",8469626,"Andrew","Alberts","D",140
"2010",8469638,"Jussi","Jokinen","LW",45
"2010",8469639,"Brooks","Laich","C",122
"2010",8469647,"Derek","Boogaard","LW",27
"2010",8469664,"David","Moss","RW",91
"2010",8469665,"Johnny","Oduya","D",60
"2010",8469670,"Marek","Svatos","RW",12
"2010",8469672,"Aaron","Voros","LW",12
"2010",8469681,"Ryan","Hollweg","LW",8
"2010",8469684,"Milan","Jurcina","D",125
"2010",8469685,"Andrew","Murray","C",77
"2010",8469707,"PA","Parenteau","RW",118
"2010",8469755,"Brandon","Segal","RW",89
"2010",8469759,"Vernon","Fiddler","C",86
"2010",8469760,"Zbynek","Michalek","D",57
"2010",8469765,"Marc-Andre","Bergeron","D",23
"2010",8469770,"Dennis","Wideman","D",92
"2010",8469779,"Keith","Aucoin","C",1
"2010",8469812,"Chad","LaRose","RW",196
"2010",8469820,"Zenon","Konopka","C",109
"2010",8469992,"Sheldon","Brookbank","D",57
"2010",8470018,"Matt","Ellis","LW",9
"2010",8470039,"Tomas","Fleischmann","LW",15
"2010",8470041,"Rick","Nash","LW",89
"2010",8470047,"Valtteri","Filppula","C",41
"2010",8470054,"Keith","Ballard","D",112
"2010",8470063,"Adam","Burish","RW",77
"2010",8470065,"Ryan","Craig","C",6
"2010",8470072,"Petr","Prucha","RW",13
"2010",8470086,"Joe","Callahan","D",44
"2010",8470104,"Tom","Gilbert","D",69
"2010",8470105,"Scottie","Upshall","RW",107
"2010",8470110,"Trevor","Daley","D",31
"2010",8470113,"John","Zeiler","RW",4
"2010",8470120,"Alexander","Semin","RW",33
"2010",8470121,"Matt","Greene","D",259
"2010",8470123,"Cam","Janssen","RW",90
"2010",8470136,"Nathan","Oystrick","D",6
"2010",8470137,"Joni","Pitkanen","D",66
"2010",8470144,"Frans","Nielsen","C",23
"2010",8470151,"Jay","Bouwmeester","D",71
"2010",8470153,"Pierre-Marc","Bouchard","C",15
"2010",8470156,"Joey","Crabb","RW",99
"2010",8470159,"Boyd","Gordon","C",39
"2010",8470162,"Matt","Stajan","C",66
"2010",8470169,"Gregory","Campbell","C",149
"2010",8470171,"Max","Talbot","C",165
"2010",8470176,"Sean","Bergenheim","LW",139
"2010",8470180,"Eric","Nystrom","LW",166
"2010",8470187,"Johnny","Boychuk","D",179
"2010",8470189,"David","Van Der Gulik","LW",9
"2010",8470192,"Steve","Eminger","D",143
"2010",8470201,"Jiri","Hudler","RW",48
"2010",8470203,"Greg","Mauldin","LW",56
"2010",8470207,"Joffrey","Lupul","LW",63
"2010",8470222,"James","Wisniewski","D",114
"2010",8470230,"Daniel","Paille","LW",54
"2010",8470232,"Kris","Newbury","C",19
"2010",8470257,"Alexander","Steen","LW",38
"2010",8470265,"Anton","Babchuk","D",19
"2010",8470273,"Ian","White","D",69
"2010",8470274,"Chris","Higgins","LW",148
"2010",8470280,"Ben","Eager","LW",97
"2010",8470281,"Duncan","Keith","D",50
"2010",8470283,"Tim","Brent","C",104
"2010",8470289,"Jim","Slater","C",59
"2010",8470294,"DJ","King","LW",20
"2010",8470299,"Erik","Christensen","C",38
"2010",8470302,"Patrick","Dwyer","RW",166
"2010",8470309,"Ryan","Whitney","D",29
"2010",8470310,"Aaron","Rome","D",107
"2010",8470317,"Nate","Guenin","D",11
"2010",8470318,"Jonathan","Ericsson","D",127
"2010",8470321,"Patrick","Rissmiller","LW",17
"2010",8470324,"Josh","Gorges","D",55
"2010",8470329,"Chris","Campoli","D",110
"2010",8470358,"Alexandre","Burrows","RW",125
"2010",8470378,"Andre","Benoit","D",5
"2010",8470543,"Chris","Kunitz","LW",166
"2010",8470578,"Freddy","Meyer","D",26
"2010",8470580,"Jed","Ortmeyer","RW",2
"2010",8470595,"Eric","Staal","C",81
"2010",8470596,"Nathan","Horton","RW",103
"2010",8470597,"Nikolay","Zherdev","RW",45
"2010",8470598,"Thomas","Vanek","LW",35
"2010",8470599,"Milan","Michalek","LW",49
"2010",8470600,"Ryan","Suter","D",82
"2010",8470601,"Braydon","Coburn","D",197
"2010",8470602,"Dion","Phaneuf","D",186
"2010",8470603,"Andrei","Kostitsyn","LW",154
"2010",8470604,"Jeff","Carter","C",64
"2010",8470605,"Hugh","Jessiman","RW",4
"2010",8470606,"Dustin","Brown","RW",330
"2010",8470607,"Brent","Seabrook","D",236
"2010",8470609,"Steve","Bernier","RW",112
"2010",8470610,"Zach","Parise","LW",13
"2010",8470611,"Eric","Fehr","C",43
"2010",8470612,"Ryan","Getzlaf","C",201
"2010",8470613,"Brent","Burns","D",132
"2010",8470614,"Mark","Stuart","D",105
"2010",8470615,"Marc-Antoine","Pouliot","C",2
"2010",8470616,"Ryan","Kesler","C",201
"2010",8470617,"Mike","Richards","C",110
"2010",8470618,"Anthony","Stewart","RW",95
"2010",8470619,"Brian","Boyle","C",252
"2010",8470620,"Jeff","Tambellini","LW",121
"2010",8470621,"Corey","Perry","RW",64
"2010",8470622,"Patrick","Eaves","RW",123
"2010",8470623,"Shawn","Belle","D",9
"2010",8470626,"Loui","Eriksson","LW",26
"2010",8470630,"Kevin","Klein","D",153
"2010",8470634,"Matt","Smaby","D",45
"2010",8470638,"Patrice","Bergeron","C",93
"2010",8470640,"Matt","Carle","D",52
"2010",8470642,"Shea","Weber","D",234
"2010",8470647,"B.J.","Crombeen","RW",88
"2010",8470648,"Stefan","Meyer","LW",24
"2010",8470649,"Patrick","O'Sullivan","C",15
"2010",8470651,"Jeremy","Colliton","C",23
"2010",8470654,"Maxim","Lapierre","C",272
"2010",8470655,"David","Backes","RW",199
"2010",8470656,"David","Liffiton","D",3
"2010",8470661,"Jean-Francois","Jacques","LW",111
"2010",8470662,"Colin","Fraser","C",79
"2010",8470666,"Daniel","Carcillo","LW",93
"2010",8470667,"Clarke","MacArthur","LW",115
"2010",8470672,"Ryan","O'Byrne","D",171
"2010",8470678,"Alexandre","Picard","D",53
"2010",8470680,"Ryan","Potulny","C",5
"2010",8470685,"Alexander","Sulzer","D",38
"2010",8470687,"Zack","Stortini","RW",46
"2010",8470697,"Philippe","Dupuis","C",125
"2010",8470699,"Jan","Hejda","D",149
"2010",8470705,"Corey","Locke","C",1
"2010",8470708,"Guillaume","Desbiens","RW",22
"2010",8470713,"Paul","Bissonnette","LW",122
"2010",8470714,"Corey","Potter","D",1
"2010",8470719,"Alexandre","Bolduc","C",34
"2010",8470724,"Kyle","Quincey","D",27
"2010",8470729,"Tyson","Strachan","D",21
"2010",8470737,"Brett","Sterling","LW",7
"2010",8470740,"Lee","Stempniak","RW",126
"2010",8470741,"Nigel","Dawes","LW",18
"2010",8470750,"John","Mitchell","C",31
"2010",8470755,"Brad","Richardson","C",93
"2010",8470760,"Marc","Methot","D",173
"2010",8470774,"Bruno","Gervais","D",40
"2010",8470775,"Nate","Thompson","C",142
"2010",8470777,"Francis","Wathier","LW",3
"2010",8470778,"Drew","Miller","LW",97
"2010",8470794,"Joe","Pavelski","C",76
"2010",8470798,"Dylan","Reese","D",17
"2010",8470803,"Kyle","Brodziak","C",48
"2010",8470804,"Mathieu","Roy","D",4
"2010",8470816,"Jay","Rosehill","LW",36
"2010",8470828,"Toby","Enstrom","D",30
"2010",8470834,"Dustin","Byfuglien","D",135
"2010",8470839,"Shane","O'Brien","D",201
"2010",8470852,"Matt","Moulson","LW",84
"2010",8470854,"Tanner","Glass","LW",159
"2010",8470867,"Troy","Bodie","RW",86
"2010",8470871,"Chris","Porter","LW",90
"2010",8470877,"David","Jones","RW",92
"2010",8470886,"Clayton","Stoner","D",109
"2010",8470896,"Steve","MacIntyre","LW",23
"2010",8470905,"Randy","Jones","D",45
"2010",8470920,"David","Clarkson","RW",168
"2010",8470966,"Mark","Giordano","D",139
"2010",8470986,"Darryl","Boyce","C",67
"2010",8470996,"Danny","Syvret","D",6
"2010",8471011,"Garrett","Stafford","D",4
"2010",8471185,"Curtis","Glencross","LW",102
"2010",8471187,"Brett","Lebda","D",33
"2010",8471208,"Dustin","Penner","RW",100
"2010",8471214,"Alex","Ovechkin","LW",277
"2010",8471215,"Evgeni","Malkin","C",31
"2010",8471216,"Cam","Barker","D",66
"2010",8471217,"Andrew","Ladd","LW",66
"2010",8471218,"Blake","Wheeler","RW",73
"2010",8471220,"Rostislav","Olesz","LW",66
"2010",8471222,"Ladislav","Smid","D",141
"2010",8471226,"Drew","Stafford","RW",63
"2010",8471231,"Kyle","Chipchura","C",29
"2010",8471232,"Lauri","Korpikoski","LW",95
"2010",8471233,"Travis","Zajac","C",55
"2010",8471234,"Wojtek","Wolski","LW",52
"2010",8471236,"Andrej","Meszaros","D",206
"2010",8471238,"Rob","Schremp","C",32
"2010",8471240,"Jeff","Schultz","D",65
"2010",8471241,"Mark","Fistric","D",173
"2010",8471242,"Mike","Green","D",108
"2010",8471245,"Dave","Bolland","C",41
"2010",8471254,"Bryan","Bickell","LW",189
"2010",8471260,"Blake","Comeau","LW",120
"2010",8471265,"Raymond","Sawada","RW",2
"2010",8471266,"David","Booth","LW",129
"2010",8471268,"Victor","Oreskovich","RW",60
"2010",8471269,"Nicklas","Grossmann","D",160
"2010",8471273,"Brandon","Dubinsky","C",154
"2010",8471274,"Alex","Goligoski","D",75
"2010",8471276,"David","Krejci","C",75
"2010",8471279,"Sami","Lepisto","D",72
"2010",8471280,"Nick","Johnson","RW",4
"2010",8471283,"Brandon","Prust","LW",181
"2010",8471284,"Andrej","Sekera","D",62
"2010",8471299,"Peter","Regin","C",30
"2010",8471303,"Alexander","Edler","D",159
"2010",8471309,"Johan","Franzen","RW",152
"2010",8471310,"Dustin","Boyd","C",12
"2010",8471311,"Tyler","Kennedy","C",111
"2010",8471314,"Mike","Lundin","D",28
"2010",8471321,"Brett","Carson","D",19
"2010",8471323,"Ryan","Jones","LW",146
"2010",8471324,"Liam","Reddox","LW",73
"2010",8471331,"Kevin","Porter","C",121
"2010",8471338,"Torrey","Mitchell","C",89
"2010",8471339,"Ryan","Callahan","RW",214
"2010",8471346,"Kris","Versteeg","RW",54
"2010",8471348,"Nikita","Nikitin","D",38
"2010",8471352,"Jake","Dowell","C",103
"2010",8471362,"Mikhail","Grabovski","C",44
"2010",8471368,"Roman","Wick","RW",2
"2010",8471371,"Mike","Brown","RW",105
"2010",8471385,"Adam","Pardy","D",42
"2010",8471386,"Scott","Parse","LW",3
"2010",8471388,"Patrick","Kaleta","RW",147
"2010",8471390,"Mike","Santorelli","C",58
"2010",8471392,"Roman","Polak","D",101
"2010",8471399,"Robbie","Earl","LW",8
"2010",8471409,"Andrew","Gordon","RW",5
"2010",8471411,"Chad","Kolarik","C",3
"2010",8471413,"Mike","Vernace","D",8
"2010",8471419,"Mark","Mancari","RW",17
